id,Month,Day,Year,Time,module,timezone,Date,Likes,Retweet,text
67,Oct,3rd,2020,1:46:48,PM,EST,67.Oct 3rd 2020 - 1:46:48 PM EST,650k,93k,OUR GREAT USA WANTS & NEEDS STIMULUS. WORK TOGETHER AND GET IT DONE. Thank you!
68,Nov,15th,2020,9:16:11,AM,EST,68.Nov 15th 2020 - 9:16:11 AM EST,605k,93k,RIGGED ELECTION. WE WILL WIN!
69,Jan,6th,2021,9:00:12,AM,EST,69.Jan 6th 2021 - 9:00:12 AM EST,377k,92k,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!"
70,Dec,22nd,2020,10:29:24,AM,EST,70.Dec 22nd 2020 - 10:29:24 AM EST,400k,92k,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!
71,Nov,10th,2020,6:21:51,PM,EST,71.Nov 10th 2020 - 6:21:51 PM EST,457k,92k,Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!
72,Nov,4th,2020,6:24:59,PM,EST,72.Nov 4th 2020 - 6:24:59 PM EST,533k,92k,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!"
73,Nov,27th,2020,10:56:13,AM,EST,73.Nov 27th 2020 - 10:56:13 AM EST,386k,92k,"Biden can only enter the White House as President if he can prove that his ridiculous “80,000,000 votes” were not fraudulently or illegally obtained. When you see what happened in Detroit, Atlanta, Philadelphia & Milwaukee, massive voter fraud, he’s got a big unsolvable problem!"
74,May,13th,2020,8:57:38,PM,EST,74.May 13th 2020 - 8:57:38 PM EST,369k,91k,OBAMAGATE!
75,Dec,21st,2020,7:24:59,AM,EST,75.Dec 21st 2020 - 7:24:59 AM EST,391k,91k,Big news coming out of Pennsylvania. Very big illegal ballot drop that cannot be accounted for. Rigged Election!
76,Sep,5th,2013,9:20:34,AM,EST,76.Sep 5th 2013 - 9:20:34 AM EST,75k,91k,"AGAIN, TO OUR VERY FOOLISH LEADER, DO NOT ATTACK SYRIA - IF YOU DO MANY VERY BAD THINGS WILL HAPPEN & FROM THAT FIGHT THE U.S. GETS NOTHING!"
77,Dec,13th,2020,10:36:46,AM,EST,77.Dec 13th 2020 - 10:36:46 AM EST,550k,91k,MOST CORRUPT ELECTION IN U.S. HISTORY!
78,Oct,4th,2020,3:51:14,PM,EST,78.Oct 4th 2020 - 3:51:14 PM EST,599k,91k,"I really appreciate all of the fans and supporters outside of the hospital. The fact is, they really love our Country and are seeing how we are MAKING IT GREATER THAN EVER BEFORE!"
79,Mar,29th,2020,3:00:26,PM,EST,79.Mar 29th 2020 - 3:00:26 PM EST,503k,91k,"I am a great friend and admirer of the Queen & the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!"
80,Jan,5th,2021,11:06:45,AM,EST,80.Jan 5th 2021 - 11:06:45 AM EST,430k,90k,The Vice President has the power to reject fraudulently chosen electors.
81,Nov,6th,2020,2:23:33,AM,EST,81.Nov 6th 2020 - 2:23:33 AM EST,498k,90k,"Twitter is out of control, made possible through the government gift of Section 230!"
